order_id,customer_id,order_date,amount,status
1001,1,2022-02-01,120.50,paid
1002,1,2022-03-15,85.00,paid
1003,2,2022-04-10,45.25,refunded
1004,2,2022-04-20,199.99,paid
1005,3,2022-05-05,75.00,paid
1006,3,2022-06-18,220.10,paid
1007,4,2022-07-01,15.99,paid
1008,4,2022-07-22,58.40,paid
1009,5,2022-08-03,349.00,paid
1010,5,2022-09-12,27.49,chargeback
1011,6,2022-10-05,99.95,paid
1012,6,2022-11-19,10.00,paid
1013,7,2022-12-02,77.77,paid
1014,7,2022-12-18,33.33,paid
1015,8,2023-01-25,250.00,paid
1016,8,2023-02-14,180.75,paid
1017,9,2023-03-05,59.90,paid
1018,9,2023-03-28,149.99,refunded
1019,10,2023-04-11,500.00,paid
1020,10,2023-05-20,129.90,paid
1021,1,2023-06-30,75.50,paid
1022,2,2023-07-04,15.00,paid
1023,3,2023-08-15,89.90,paid
1024,4,2023-09-09,39.99,paid
1025,5,2023-10-23,145.00,paid
1026,6,2023-11-11,210.10,paid
1027,7,2023-12-19,17.80,paid
1028,8,2024-01-07,320.00,paid
1029,9,2024-02-14,49.99,paid
1030,10,2024-03-03,275.50,paid
